title,start_date,start_time,end_date,end_time,is_all_day,summary,description,location,tags,categories,image,image_alt,is_starred,status,is_canceled,is_online,online_type,online_url,online_button_label,online_instructions,cost,related_content,has_registration,registrations_received
Men's Rugby vs. Ridgeview,04/02/2026,6:00 PM,04/02/2026,8:00 PM,,Conference matchup against Ridgeview.,<p>A conference matchup against Ridgeview on the intramural pitch.</p>,Intramural Fields,Rugby|Men's Sports,Athletics,davide-buttani-UKWHDxGuQ0k-unsplash.jpg,Rugby players competing on the field,,1,,,,,,,Free,,,
Blood Drive,04/03/2026,10:00 AM,04/03/2026,4:00 PM,,Hosted with the regional blood center; walk-ins welcome.,"<p>The regional blood center returns to campus for a full day of donations. Appointments are preferred to keep wait times short, but walk-ins are always accommodated as space allows.</p><p>First-time donors should plan for about an hour total, including a brief health screening. Snacks and juice are provided afterward, and every donor receives a small thank-you gift while supplies last.</p>","Student Union, Room 150",Service|Blood Drive,Community Outreach,nguy-n-hi-p-ufwC2cmbaaI-unsplash.jpg,A volunteer preparing a blood donation station,,1,,,,,,,Free,,,
Women's Water Polo vs. Hartwell,04/03/2026,5:00 PM,04/03/2026,7:00 PM,,Conference matchup against Hartwell.,<p>A conference matchup against Hartwell at the natatorium.</p>,Aquatics Center,Water Polo|Women's Sports,Athletics,emmanuel-lelievre-_yR4z2pn630-unsplash.jpg,Water polo players competing in the pool,,1,,,,,,,Free,,,
"Museum Exhibit Opening: Ink & Memory, A Printmaking Retrospective",04/04/2026,,04/04/2026,,1,A retrospective spanning four decades of printmaking from the permanent collection.,"<p>This retrospective draws together four decades of printmaking from the museum's permanent collection, tracing how techniques and subject matter shifted across generations of practicing artists.</p><p>An opening reception runs from 2 to 4pm with remarks from the curator, but the exhibit itself remains open to visitors throughout regular museum hours for the rest of the semester.</p>","University Museum, East Gallery",Reception|Exhibit,Open to the Public|Academic Events,zalfa-imani-3hxlxmo2Oc0-unsplash.jpg,Framed prints on display in a gallery,,1,,,,,,,Free,,,
University Equestrian at Regional Show,04/04/2026,,04/04/2026,,1,Riders compete across several classes at the regional show.,"<p>Riders compete across several classes at this weekend's regional show, hosted at a nearby equestrian center.</p>",Offsite — Regional Equestrian Center,Equestrian,Athletics,gene-devine-YwjY-8Ivag4-unsplash.jpg,A rider competing on horseback,,1,,,,,,,,,,
Community Connections Mixer,04/05/2026,2:00 PM,04/05/2026,4:00 PM,,"A casual, drop-in gathering for anyone looking to make new connections on campus.","<p>This drop-in mixer is designed for anyone — new or returning, undergraduate or graduate — who wants an easy, low-pressure way to meet people outside their usual circles.</p><p>There's no agenda beyond conversation: light snacks, a few icebreaker prompts on each table, and plenty of time to talk. Come for ten minutes or stay the whole afternoon.</p>","Student Union, Room 230",Community,Open to the Public|Student Organizations,hannah-busing-Zyx1bK9mqmA-unsplash.jpg,A small group seated together in conversation,,1,,,,,,,Free,,,
Women's Cross Country at Season-Opening Invitational,04/05/2026,,04/05/2026,,1,The team opens its spring slate at the season-opening invitational.,"<p>The team opens its spring slate at this season-opening invitational, hosted this year on the home course.</p>",Cross Country Course,Cross Country|Women's Sports,Athletics,jorge-alberto-vega-barrera-1-nuy7fD3fw-unsplash.jpg,Runners competing on a cross country course,,1,,,,,,,,,,
Master of Science in Data Analytics | Virtual Info Session,04/06/2026,12:00 PM,04/06/2026,1:00 PM,,An overview of the part-time Master of Science in Data Analytics program.,"<p>Program staff walk through the curriculum, course sequencing, and typical timeline for the part-time Master of Science in Data Analytics, designed for working professionals.</p><p>The session covers admissions requirements, funding options, and how the program's evening and weekend course formats fit around a full-time job. A recording is sent to registrants who can't attend live.</p>",,Seminar|Info Session,Academic Events,compagnons-eTgMFFzroGc-unsplash.jpg,A laptop set up for a video call,,1,,1,1,https://example.edu/webconference/ms-data-analytics,Join Online,,,,,
Men's Ice Hockey vs. Meridian,04/06/2026,7:00 PM,04/06/2026,9:00 PM,,Conference matchup against Meridian.,<p>A conference matchup against Meridian at the ice arena.</p>,Ice Arena,Ice Hockey|Men's Sports,Athletics,logan-weaver-lgnwvr-GXQP77GIsIU-unsplash.jpg,Ice hockey players competing on the rink,,1,,,,,,,Free,,,
Economics Seminar: Housing Markets and Migration,04/07/2026,4:00 PM,04/07/2026,5:00 PM,,New research on how rising housing costs shape regional migration patterns.,<p>This week's economics seminar presents new research linking rising housing costs in major metro areas to shifting migration patterns toward smaller cities and remote work hubs.</p><p>The talk draws on a decade of household mobility data and includes discussion of policy implications for both sending and receiving regions. Open to all students and faculty; no background in economics required.</p>,"Business Building, Room 150",Colloquium,Academic Events,wan-san-yip-ID1yWa1Wpx0-unsplash.jpg,A speaker presenting research to a seated audience,,1,,,,,,,,,,
Women's Tennis vs. Crestline,04/07/2026,4:00 PM,04/07/2026,6:00 PM,,Conference matchup against Crestline.,<p>A conference matchup against Crestline on the outdoor courts.</p>,Tennis Complex,Tennis|Women's Sports,Athletics,hoi-pham-eLZwsPO8cCQ-unsplash.jpg,A tennis player mid-serve on the court,,1,,,,,,,Free,,,
Interfaith Reflection Gathering,04/08/2026,12:00 PM,04/08/2026,1:00 PM,,"A quiet, multi-faith space for reflection open to students of any tradition or none.","<p>Held weekly in a quiet corner of the student union, this gathering offers a shared space for reflection, meditation, or prayer, welcoming students from any faith tradition or none at all.</p><p>There's no set program — chaplains from several traditions are present to talk if wanted, but sitting quietly is just as welcome. Drop in for five minutes or the full hour.</p>","Student Union, Reflection Room",Community|Wellness,Open to the Public|Community Outreach,hannah-busing-Zyx1bK9mqmA-unsplash.jpg,A small group seated together in quiet conversation,,1,,,,,,,Free,,,
Men's Volleyball vs. Oakhaven,04/08/2026,7:00 PM,04/08/2026,9:00 PM,,Conference matchup against Oakhaven.,<p>A conference matchup against Oakhaven at the Fieldhouse.</p>,Fieldhouse Arena,Volleyball|Men's Sports,Athletics,taiki-ishikawa-ZKFNj-Hc2Q0-unsplash.jpg,Volleyball players competing on the court,,1,,,,,,,Free,,,
Panel: Navigating a Career Change After Graduation,04/09/2026,4:00 PM,04/09/2026,5:30 PM,,Alumni who changed career paths share how they made the leap.,"<p>Three alumni who each pivoted into a different field within five years of graduating share what prompted the change, how they retooled their skills, and what they'd do differently.</p><p>The panel leaves ample time for audience questions, and attendees are encouraged to bring specific career-change scenarios they're weighing themselves.</p>",Career Services Suite,Panel,Academic Events,nathan-dumlao-ewGMqs2tmJI-unsplash.jpg,Panelists seated in front of an audience,,1,,,,,,,,,,
Women's Rugby vs. Silverton,04/09/2026,6:00 PM,04/09/2026,8:00 PM,,Conference matchup against Silverton.,<p>A conference matchup against Silverton on the intramural pitch.</p>,Intramural Fields,Rugby|Women's Sports,Athletics,davide-buttani-UKWHDxGuQ0k-unsplash.jpg,Rugby players competing on the field,,1,,,,,,,Free,,,
Regional Alumni Mixer,04/10/2026,6:30 PM,04/10/2026,8:30 PM,,An evening of casual conversation for alumni from every graduating class.,"<p>This mixer brings together alumni from every graduating class for an informal evening of reconnecting, whether that means catching up with old classmates or meeting people from decades apart.</p><p>Light appetizers and a cash bar are available, and current students working in the alumni office are on hand to share updates about what's new on campus.</p>",Alumni Center,Alumni|Service,Open to the Public|Community Outreach,darya-tryfanava-d55fhArDES0-unsplash.jpg,Guests mingling and chatting at an evening mixer,1,1,,,,,,,,,,
Men's Swimming & Diving vs. Brightwater,04/10/2026,5:00 PM,04/10/2026,7:00 PM,,Conference matchup against Brightwater.,<p>A conference matchup against Brightwater at the Aquatics Center.</p>,Aquatics Center,Swimming & Diving|Men's Sports,Athletics,serena-repice-lentini-Ue24S2JU81k-unsplash.jpg,A swimmer competing in a pool lane,,1,,,,,,,Free,,,
Thesis Defense: Sociology — Priya Chandran,04/11/2026,10:00 AM,04/11/2026,11:30 AM,,A doctoral defense examining how neighborhood turnover affects local civic participation.,"<p>Priya Chandran defends her dissertation on how rapid neighborhood turnover affects local civic participation, drawing on interviews and voter records from several mid-sized cities.</p><p>The public presentation runs roughly forty-five minutes, followed by closed committee questioning. Guests are welcome for the public portion.</p>","Social Sciences Building, Room 220",Thesis Defense,Academic Events,quilia-1-aA2Fadydc-unsplash.jpg,A presenter speaking at a defense session,,1,,,,,,,,,,
Coed Sailing at Spring Regatta,04/11/2026,,04/11/2026,,1,A full day of fleet racing at the spring regatta.,<p>The coed sailing team competes in a full day of fleet racing at this weekend's spring regatta.</p>,Offsite — Regional Sailing Center,Sailing,Athletics,ed-wingate-80lWoMl9guA-unsplash.jpg,Sailboats racing on open water,,1,,,,,,,,,,
Peer Support Circle,04/12/2026,3:00 PM,04/12/2026,4:00 PM,,"A peer-led, drop-in space for anyone who wants to talk through what's on their mind.","<p>This peer-led circle meets weekly as a low-key, drop-in space for students to talk through whatever's on their mind — school stress, homesickness, or just wanting company. Trained student facilitators keep the conversation grounded and confidential.</p><p>No sign-up is required and attendance is completely informal; come once or every week, whichever is useful.</p>",Wellness Center Studio,Community|Wellness,Community Outreach,hannah-busing-Zyx1bK9mqmA-unsplash.jpg,A small group seated together in conversation,,1,,,,,,,Free,,,
Women's Basketball Alumnae Exhibition Game,04/12/2026,1:00 PM,04/12/2026,3:00 PM,,Current players take on a team of graduated alumnae in a friendly exhibition.,"<p>Current players take on a team of returning alumnae in a lighthearted, friendly exhibition game, followed by a meet-and-greet at center court.</p>",Fieldhouse Arena,Basketball|Women's Sports|Alumni,Athletics,hannah-gibbs-WOC-DFTx8IY-unsplash.jpg,Basketball players competing on the court,,1,,,,,,,Free,,,
Priority Registration Opens for Fall Semester,04/13/2026,,04/13/2026,,1,Registration windows open in class-standing order starting today.,"<p>Registration windows open in class-standing order starting at 7am; check your assigned time slot in the student portal.</p><p>Holds from unpaid balances, missing immunization records, or incomplete advising sign-offs will block registration even during your assigned window, so it's worth checking your account status a few days ahead of time.</p>",Registrar's Office,,Dates & Deadlines,,,,1,,,,,,,,,,
Men's Water Polo vs. Kingsford,04/13/2026,6:00 PM,04/13/2026,8:00 PM,,Conference matchup against Kingsford.,<p>A conference matchup against Kingsford at the natatorium.</p>,Aquatics Center,Water Polo|Men's Sports,Athletics,emmanuel-lelievre-_yR4z2pn630-unsplash.jpg,Water polo players competing in the pool,,1,,,,,,,Free,,,
Guest Lecture: Rethinking Urban Green Space,04/14/2026,4:00 PM,04/14/2026,5:30 PM,,An urban planner argues for rethinking how cities design and fund public green space.,"<p>Drawing on case studies from several mid-sized cities, this talk argues that public green space is chronically underfunded relative to its measurable effects on public health, property values, and neighborhood cohesion.</p><p>The speaker also addresses common criticisms of green-space investment, including concerns about maintenance costs and unequal access across neighborhoods.</p>","Humanities Building, Room 110",Lecture,Open to the Public|Academic Events,igor-omilaev-gVQLAbGVB6Q-unsplash.jpg,Speaker presenting to an audience,,1,,,,,,,,,,
Women's Equestrian at Spring Classic,04/14/2026,,04/14/2026,,1,Riders compete across several classes at the spring classic.,"<p>Riders compete across several classes at this weekend's spring classic, hosted at a nearby equestrian center.</p>",Offsite — Regional Equestrian Center,Equestrian|Women's Sports,Athletics,gene-devine-YwjY-8Ivag4-unsplash.jpg,A rider competing on horseback,,1,,,,,,,,,,
Wellness Workshop: Managing Exam Stress,04/15/2026,12:00 PM,04/15/2026,1:00 PM,,"Practical strategies for managing exam-season stress, led by campus counseling staff.","<p>Campus counseling staff lead a practical, drop-in workshop on managing exam-season stress — covering sleep, study scheduling, and quick grounding techniques that fit between classes.</p><p>No registration needed; come for the full session or just the parts that are useful.</p>",Wellness Center Studio,Wellness,Community Outreach,jared-rice-xce530fBHrk-unsplash.jpg,Tables set up for a wellness event,,1,,,,,,,Free,,,
Men's Cross Country at Invitational,04/15/2026,,04/15/2026,,1,The team competes at a regional invitational meet.,<p>The team travels to compete at a regional invitational meet against several conference rivals.</p>,Offsite — Regional Cross Country Course,Cross Country|Men's Sports,Athletics,jorge-alberto-vega-barrera-1-nuy7fD3fw-unsplash.jpg,Runners competing on a cross country course,,1,,,,,,,,,,
"Museum Exhibit Opening: Objects of Everyday Life, A Community Photography Project",04/16/2026,,04/16/2026,,1,A community photography project documenting everyday objects with personal meaning.,"<p>For this student-curated show, participants from across campus and the surrounding neighborhood submitted photographs of one ordinary object that carries personal meaning, alongside a short written note about why.</p><p>The result is an intentionally unpolished, wide-ranging exhibit that leans into the everyday rather than the exceptional. An opening reception runs from 5 to 7pm with several contributors on hand to talk about their pieces.</p>","Student Gallery, Fine Arts Building",Reception|Exhibit,Open to the Public|Academic Events,markus-spiske-RmvlD0oTsAo-unsplash.jpg,Photographs displayed on a gallery wall,,2,,,,,,,Free,,,
Women's Volleyball vs. Millbrook,04/16/2026,7:00 PM,04/16/2026,9:00 PM,,Conference matchup against Millbrook.,<p>A conference matchup against Millbrook at the Fieldhouse.</p>,Fieldhouse Arena,Volleyball|Women's Sports,Athletics,taiki-ishikawa-ZKFNj-Hc2Q0-unsplash.jpg,Volleyball players competing on the court,,1,,,,,,,Free,,,
International Student Info Session: Visa & Work Authorization Basics,04/17/2026,1:00 PM,04/17/2026,2:00 PM,,Practical guidance on maintaining status and understanding work authorization options.,"<p>International student services staff walk through the basics of maintaining valid immigration status, common questions about on-campus employment, and an overview of post-graduation work authorization options.</p><p>This session covers general information only; students with case-specific questions are encouraged to schedule a follow-up advising appointment.</p>",,Seminar|Info Session,Academic Events,kyle-glenn-nXt5HtLmlgE-unsplash.jpg,A world map with pins marking destinations,,1,,1,1,https://example.edu/webconference/international-visa-basics,Join Online,,,,,
Men's Tennis Conference Quarterfinals,04/17/2026,,04/17/2026,,1,The team opens conference tournament play.,<p>The team opens conference tournament play in the quarterfinal round.</p>,Tennis Complex,Tennis|Men's Sports,Athletics,hoi-pham-eLZwsPO8cCQ-unsplash.jpg,A tennis player mid-serve on the court,,1,,,,,,,,,,
Spring Fling Concert,04/18/2026,7:30 PM,04/18/2026,10:00 PM,,An outdoor concert featuring student bands and a headlining act.,"<p>Spring Fling closes out with an outdoor concert on the quad, opening with a rotation of student bands before a headlining act takes the stage.</p><p>Food trucks and a merch table from the student activities office are on site starting an hour before the music begins. Bring a blanket or low chair — seating is on the lawn.</p>",Main Quad,Music,Open to the Public|Performances,manuel-nageli-7CcPLtywRso-unsplash.jpg,Musicians performing on stage,1,1,,,,,,,Free,,,
Women's Sailing at Conference Championship,04/18/2026,,04/19/2026,,1,The team competes in the conference championship regatta over the weekend.,"<p>The team competes in the conference championship regatta, a two-day event spanning Saturday and Sunday.</p>",Offsite — Regional Sailing Center,Sailing|Women's Sports,Athletics,ed-wingate-80lWoMl9guA-unsplash.jpg,Sailboats racing on open water,,1,,,,,,,,,,
New & Returning Students Coffee Hour,04/19/2026,10:00 AM,04/19/2026,11:30 AM,,An easygoing weekly coffee hour open to anyone looking to meet new people.,"<p>This weekly coffee hour is an easy, no-pressure way to meet people from outside your usual routine — new students still finding their footing and returning students alike are welcome.</p><p>Coffee, tea, and pastries are provided. Drop by for the whole hour or just long enough to grab a cup.</p>","Student Union, Room 230",Community,Student Organizations|Open to the Public,hannah-busing-Zyx1bK9mqmA-unsplash.jpg,A small group seated together in conversation,,1,,,,,,,Free,,,
Men's Ice Hockey vs. Fernwood,04/19/2026,3:00 PM,04/19/2026,5:00 PM,,Conference matchup against Fernwood.,<p>A conference matchup against Fernwood at the ice arena.</p>,Ice Arena,Ice Hockey|Men's Sports,Athletics,logan-weaver-lgnwvr-GXQP77GIsIU-unsplash.jpg,Ice hockey players competing on the rink,,1,,,,,,,Free,,,
Master of Public Health | Virtual Info Session,04/20/2026,12:00 PM,04/20/2026,1:00 PM,,An overview of the Master of Public Health program and its concentration tracks.,"<p>Program staff cover the MPH curriculum, available concentration tracks, and the required practicum placement, along with typical timelines for full-time and part-time enrollment.</p><p>The session closes with an open Q&amp;A, and registrants receive a recording along with a program brochure by email afterward.</p>",,Seminar|Info Session,Academic Events,compagnons-eTgMFFzroGc-unsplash.jpg,A laptop set up for a video call,,1,,1,1,https://example.edu/webconference/mph-info-session,Join Online,,,,,
Women's Tennis vs. Ironwood,04/20/2026,4:00 PM,04/20/2026,6:00 PM,,Conference matchup against Ironwood.,<p>A conference matchup against Ironwood on the outdoor courts.</p>,Tennis Complex,Tennis|Women's Sports,Athletics,hoi-pham-eLZwsPO8cCQ-unsplash.jpg,A tennis player mid-serve on the court,,1,,,,,,,Free,,,
Thesis Defense: Computer Science — Felix Adeyemi,04/21/2026,2:00 PM,04/21/2026,3:30 PM,,A doctoral defense on efficient indexing methods for large-scale time-series data.,"<p>Felix Adeyemi defends his dissertation on efficient indexing methods for large-scale time-series data, with applications ranging from sensor networks to financial trading systems.</p><p>The public presentation covers motivation, methodology, and benchmark results before the committee moves to closed questioning.</p>","Computer Science Building, Room 140",Thesis Defense,Academic Events,quilia-1-aA2Fadydc-unsplash.jpg,A presenter speaking at a defense session,,1,,,,,,,,,,
Men's Rugby vs. Bellmont,04/21/2026,6:00 PM,04/21/2026,8:00 PM,,Conference matchup against Bellmont.,<p>A conference matchup against Bellmont on the intramural pitch.</p>,Intramural Fields,Rugby|Men's Sports,Athletics,davide-buttani-UKWHDxGuQ0k-unsplash.jpg,Rugby players competing on the field,,1,,,,,,,Free,,,
Political Science Colloquium: Democratic Institutions Under Strain,04/22/2026,4:00 PM,04/22/2026,5:00 PM,,A comparative look at how democratic institutions respond to sustained political polarization.,"<p>This colloquium compares how democratic institutions in several countries have adapted — or failed to adapt — to sustained political polarization over the past two decades.</p><p>The speaker draws on comparative case studies to identify which institutional features appear most resilient, and which are most vulnerable to erosion over time.</p>","Social Sciences Building, Room 220",Colloquium,Academic Events,dom-fou-YRMWVcdyhmI-unsplash.jpg,A researcher presenting at a lectern,,1,,,,,,,,,,
Community Garden Volunteer Day,04/22/2026,9:00 AM,04/22/2026,12:00 PM,,Help with spring planting in the campus community garden.,<p>Help with spring planting and general upkeep in the campus community garden. Tools and gloves provided.</p><p>No experience necessary — a garden coordinator is on site to answer questions and point volunteers toward whatever task fits the time they have.</p>,Community Garden,Volunteering,Community Outreach,quilia-qo6_mo9dsYg-unsplash.jpg,Volunteers working in a garden,,1,,,,,,,Free,,,
Panel: Finding Your First Job in a Changing Economy,04/23/2026,4:00 PM,04/23/2026,5:30 PM,,Recent graduates and hiring managers discuss what's actually changed in entry-level hiring.,"<p>A mixed panel of recent graduates and hiring managers discusses what has actually changed in entry-level hiring over the last few years — from application volume to the growing role of AI-assisted screening.</p><p>The conversation stays practical: what candidates can control, what they can't, and how to make a resume stand out in an application pool that's often several hundred deep.</p>",Career Services Suite,Panel,Academic Events,sincerely-media-dGxOgeXAXm8-unsplash.jpg,Panelists seated in front of an audience,,1,,,,,,,,,,
Women's Water Polo vs. Copper Hill,04/23/2026,5:00 PM,04/23/2026,7:00 PM,,Conference matchup against Copper Hill.,<p>A conference matchup against Copper Hill at the natatorium.</p>,Aquatics Center,Water Polo|Women's Sports,Athletics,emmanuel-lelievre-_yR4z2pn630-unsplash.jpg,Water polo players competing in the pool,,1,,,,,,,Free,,,
Blood Drive: Community Blood Center Visit,04/24/2026,10:00 AM,04/24/2026,4:00 PM,,A second spring blood drive with the regional blood center.,"<p>The regional blood center makes its second spring visit to campus. As always, appointments are preferred but walk-ins are welcome throughout the day.</p><p>Donors are asked to eat a full meal and stay hydrated beforehand. The whole process, screening included, typically takes under an hour.</p>","Student Union, Room 150",Service|Blood Drive,Community Outreach,nguy-n-hi-p-ufwC2cmbaaI-unsplash.jpg,A volunteer preparing a blood donation station,,1,,,,,,,Free,,,
Men's Swimming & Diving Conference Championships (Day 1),04/24/2026,,04/24/2026,,1,Preliminary heats and diving rounds open the conference championships.,"<p>Preliminary heats and diving rounds open the two-day conference championship meet, hosted this year at the home pool.</p>",Aquatics Center,Swimming & Diving|Men's Sports,Athletics,serena-repice-lentini-Ue24S2JU81k-unsplash.jpg,A swimmer competing in a pool lane,,1,,,,,,,,,,
Men's Swimming & Diving Conference Championships (Day 2),04/25/2026,,04/25/2026,,1,Finals conclude the conference championship meet.,"<p>Championship finals wrap up the two-day meet, with team standings decided over the course of the afternoon.</p>",Aquatics Center,Swimming & Diving|Men's Sports,Athletics,serena-repice-lentini-Ue24S2JU81k-unsplash.jpg,A swimmer competing in a pool lane,,1,,,,,,,,,,
Coed Equestrian at Regional Finals,04/25/2026,,04/25/2026,,1,Riders compete at the regional finals show.,<p>Riders compete across several classes at this weekend's regional finals show.</p>,Offsite — Regional Equestrian Center,Equestrian,Athletics,gene-devine-YwjY-8Ivag4-unsplash.jpg,A rider competing on horseback,,1,,,,,,,,,,
Community Connections Mixer,04/26/2026,2:00 PM,04/26/2026,4:00 PM,,"A casual, drop-in gathering for anyone looking to make new connections on campus.","<p>This week's mixer follows the same easy format as always: light snacks, a few conversation prompts, and no obligation to stay any particular length of time.</p><p>It tends to draw a mix of students who've come before and first-timers, which keeps the conversation fresh from week to week.</p>","Student Union, Room 230",Community,Open to the Public|Student Organizations,hannah-busing-Zyx1bK9mqmA-unsplash.jpg,A small group seated together in conversation,,1,,,,,,,Free,,,
Women's Rugby vs. Stonebridge,04/26/2026,1:00 PM,04/26/2026,3:00 PM,,Conference matchup against Stonebridge.,<p>A conference matchup against Stonebridge on the intramural pitch.</p>,Intramural Fields,Rugby|Women's Sports,Athletics,davide-buttani-UKWHDxGuQ0k-unsplash.jpg,Rugby players competing on the field,,1,,,,,,,Free,,,
Last Day to Withdraw from a Spring Course,04/27/2026,,04/27/2026,,1,Final day to withdraw from a spring course with a W grade instead of a letter grade.,"<p>Withdrawals submitted after 11:59pm today will receive a letter grade rather than a W.</p><p>Students considering a late withdrawal are encouraged to talk with their academic advisor first, since a W can affect financial aid satisfactory-progress requirements depending on how many credits it drops you below full-time status.</p>",Registrar's Office,,Dates & Deadlines,,,,1,,,,,,,,,,
Men's Cross Country at Conference Championships,04/27/2026,,04/27/2026,,1,The team competes for the conference title.,<p>The team travels to compete for the conference title against every program in the league.</p>,Offsite — Regional Cross Country Course,Cross Country|Men's Sports,Athletics,jorge-alberto-vega-barrera-1-nuy7fD3fw-unsplash.jpg,Runners competing on a cross country course,,1,,,,,,,,,,
Guest Lecture: The Future of Renewable Energy Storage,04/28/2026,4:00 PM,04/28/2026,5:30 PM,,An engineer surveys the current landscape of grid-scale battery technology.,"<p>As renewable energy makes up a growing share of the power grid, storage technology has become the bottleneck standing between intermittent supply and reliable delivery. This talk surveys where battery technology currently stands.</p><p>The speaker compares several competing storage approaches — lithium-ion, flow batteries, and mechanical storage — on cost, scalability, and environmental footprint, and discusses which are most likely to dominate the next decade of grid buildout.</p>","Engineering Building, Room 105",Lecture,Open to the Public|Academic Events,robert-bye-CyvK_Z2pYXg-unsplash.jpg,Speaker presenting to an audience,,1,,,,,,,,,,
Women's Volleyball vs. Pinehurst,04/28/2026,7:00 PM,04/28/2026,9:00 PM,,Conference matchup against Pinehurst.,<p>A conference matchup against Pinehurst at the Fieldhouse.</p>,Fieldhouse Arena,Volleyball|Women's Sports,Athletics,taiki-ishikawa-ZKFNj-Hc2Q0-unsplash.jpg,Volleyball players competing on the court,,1,,,,,,,Free,,,
Study Abroad Info Session: Language Immersion Programs,04/29/2026,1:00 PM,04/29/2026,2:00 PM,,An overview of summer and semester language immersion programs abroad.,"<p>This session focuses specifically on language immersion programs, covering placement testing, homestay arrangements, and how immersion credit typically transfers back for language requirement fulfillment.</p><p>Returning students from past immersion cohorts join partway through to answer questions about day-to-day life in their host country.</p>",,Seminar|Study Abroad,Academic Events,kyle-glenn-nXt5HtLmlgE-unsplash.jpg,A world map with pins marking destinations,,1,,1,1,https://example.edu/webconference/language-immersion,Join Online,,,,,
Men's Water Polo vs. Larkspur,04/29/2026,6:00 PM,04/29/2026,8:00 PM,,Conference matchup against Larkspur.,<p>A conference matchup against Larkspur at the natatorium.</p>,Aquatics Center,Water Polo|Men's Sports,Athletics,emmanuel-lelievre-_yR4z2pn630-unsplash.jpg,Water polo players competing in the pool,,1,,,,,,,Free,,,
Thesis Defense: History — Naomi Torres,04/30/2026,10:00 AM,04/30/2026,11:30 AM,,A doctoral defense tracing the growth of regional trade networks in the 19th century.,"<p>Naomi Torres defends her dissertation tracing the growth of regional trade networks in the 19th century, using shipping manifests and correspondence to reconstruct commercial relationships that don't appear in official records.</p><p>Guests are welcome for the public presentation portion, which runs roughly forty-five minutes.</p>","Humanities Building, Room 214",Thesis Defense,Academic Events,quilia-1-aA2Fadydc-unsplash.jpg,A presenter speaking at a defense session,,1,,,,,,,,,,
Women's Ice Hockey vs. Wrenfield,04/30/2026,7:00 PM,04/30/2026,9:00 PM,,Conference matchup against Wrenfield.,<p>A conference matchup against Wrenfield at the ice arena.</p>,Ice Arena,Ice Hockey|Women's Sports,Athletics,logan-weaver-lgnwvr-GXQP77GIsIU-unsplash.jpg,Ice hockey players competing on the rink,,1,,,,,,,Free,,,
Spring Career & Internship Fair,05/01/2026,10:00 AM,05/01/2026,3:00 PM,,A second career fair for students seeking summer internships or full-time roles.,"<p>This spring fair leans toward summer internship and new-graduate hiring, with a slightly different mix of employers than the fall fair. Bring several copies of your resume and dress professionally.</p><p>A resume-review table staffed by career services is set up just inside the entrance for anyone who wants quick feedback before heading into the main hall.</p>",Student Union Ballroom,Service,Open to the Public|Community Outreach,product-school-5H0p6JPUHbI-unsplash.jpg,Students in conversation around a table,1,1,,,,,,,,,1,"[{""firstname"": ""Harper"", ""lastname"": ""Osei"", ""email"": ""harper.osei@example.edu"", ""attending"": 1}, {""firstname"": ""Noah"", ""lastname"": ""Fitzpatrick"", ""email"": ""noah.fitzpatrick@example.edu"", ""attending"": 1, ""comments_by_registrant"": ""Is business casual OK or should I wear a full suit?""}]"
Men's Sailing at Spring Championship,05/01/2026,,05/01/2026,,1,The team competes in the spring championship regatta.,"<p>The team competes in the spring championship regatta, hosted this year at a neighboring club's marina.</p>",Offsite — Regional Sailing Center,Sailing|Men's Sports,Athletics,ed-wingate-80lWoMl9guA-unsplash.jpg,Sailboats racing on open water,,1,,,,,,,,,,
Peer Support Circle,05/02/2026,3:00 PM,05/02/2026,4:00 PM,,"A peer-led, drop-in space for anyone who wants to talk through what's on their mind.","<p>This week's circle meets as usual — informal, confidential, and led by trained student facilitators. No sign-up required.</p>",Wellness Center Studio,Community|Wellness,Community Outreach,hannah-busing-Zyx1bK9mqmA-unsplash.jpg,A small group seated together in conversation,,1,,,,,,,Free,,,
Women's Equestrian at Conference Finals,05/02/2026,,05/02/2026,,1,Riders compete for the conference title.,<p>Riders compete across several classes for the conference title at this weekend's finals show.</p>,Offsite — Regional Equestrian Center,Equestrian|Women's Sports,Athletics,gene-devine-YwjY-8Ivag4-unsplash.jpg,A rider competing on horseback,,1,,,,,,,,,,
Community Garden Volunteer Day,05/03/2026,9:00 AM,05/03/2026,12:00 PM,,Help with weeding and watering as the season's crop starts to come in.,"<p>Help with weeding, watering, and general upkeep as this season's crop starts to come in. Tools and gloves provided.</p>",Community Garden,Volunteering,Community Outreach,quilia-qo6_mo9dsYg-unsplash.jpg,Volunteers working in a garden,,1,,,,,,,Free,,,
Men's Tennis Conference Championships,05/03/2026,,05/03/2026,,1,The team competes for the conference title.,"<p>The team competes in the conference championship tournament, hosted this year on the home courts.</p>",Tennis Complex,Tennis|Men's Sports,Athletics,hoi-pham-eLZwsPO8cCQ-unsplash.jpg,A tennis player mid-serve on the court,,1,,,,,,,,,,
Registration Opens for Summer Session Courses,05/04/2026,,05/04/2026,,1,Registration for summer session courses opens at 9am.,<p>Registration for summer session courses opens at 9am through the student portal; seats in popular sections tend to fill within the first day.</p>,Registrar's Office,,Dates & Deadlines,,,,1,,,,,,,,,,
